indicator_code,insee_code,year,value,source_file
catnat_communes_flood_count,95000,1988,7.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,1995,54.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,2002,5.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,2007,12.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,2017,1.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_flood_count,95000,2022,9.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=ino)"
catnat_communes_storm_count,75000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,75000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,77000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
catnat_communes_storm_count,78000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=atm)"
